34196
My Darling Clementine | Linda Darnell | cast_member
The Purple Rose of Cairo | Woody Allen | screenwriter
Angelo Francesco Lavagnino | Genoa | place_of_birth
True Colors (1991 film) | Herbert Ross | producer
Callaway Went Thataway | Howard Keel | cast_member
Department of Youth (song) | Only Women Bleed | follows
Don't Let It Bring You Down | Neil Young | lyricist
Brad Turner (director) | Film director | occupation
How Could an Angel Break My Heart | LaFace Records | record_label
Inherit the Wind (1960 film) | Harry Morgan | cast_member
Elektra (2005 film) | Terence Stamp | cast_member
Blue in the Face | Film | instance_of
Higher Learning | Stanley Clarke | composer
Evgeny Muratov | Ak Bars Kazan | member_of_sports_team
Rambo: First Blood Part II | Film | instance_of
Donald Crisp | United Kingdom | country_of_citizenship
Eternally (Utada Hikaru song) | Utada Hikaru | lyricist
The Cardinal | Columbia Pictures | distributed_by
Go to Blazes (1942 film) | Film | instance_of
Lady in the Water | James Newton Howard | composer
Ritual (film) | Film | instance_of
Yeh Jo Mohabbat Hai | Rati Agnihotri | cast_member
Kostas Axelos | Georg Wilhelm Friedrich Hegel | influenced_by
Amazing Stories (TV series) | Steven Spielberg | executive_producer
Grand Prix Simulator | Codemasters | publisher
Creepy Crawlers (TV series) | Channel 4 | original_broadcaster
Somewhere, My Love | MGM Records | record_label
She'll Leave You with a Smile | Universal Music Group Nashville | record_label
Walter Wanger | World War I | conflict
Her Harem | Ugo Tognazzi | cast_member
Transamerica (film) | Film | instance_of
Oliver Stapleton | London | place_of_birth
Our Endless Numbered Days | Sub Pop | record_label
Dance Like Nobody's Watching (30 Rock) | Idiots Are People Two! | followed_by
Illegal (1955 film) | Film | instance_of
The Keys of the Kingdom (film) | Film | instance_of
Watford | Hertfordshire | located_in_the_administrative_territorial_entity
Curtis Leschyshyn | Quebec Nordiques | drafted_by
An Airman's Letter to His Mother | John Gielgud | cast_member
Ernst Bickel | University of Bonn | employer
Filipp Metlyuk | Salavat Yulaev Ufa | member_of_sports_team
Devil's Knot (film) | Colin Firth | cast_member
Yangtse Incident: The Story of H.M.S. Amethyst | Herbert Wilcox | producer
Attack (1956 film) | Joseph F. Biroc | director_of_photography
Next Position Please | Cheap Trick | performer
2012 (film) | Oliver Platt | cast_member
Aag Ka Gola | Prem Chopra | cast_member
The Ghost Breaker (1914 film) | Cecil B. DeMille | producer
The Conan Chronicles | L. Sprague de Camp | author
Smoke (film) | Rachel Portman | composer
Thenmavin Kombath | Kaviyoor Ponnamma | cast_member
Carrington (film) | Jonathan Pryce | cast_member
Radio Flyer (film) | Hans Zimmer | composer
The Fight (Star Trek: Voyager) | Winrich Kolbe | director
Coffee & TV | No Distance Left to Run | followed_by
Quantum of Solace | David Arnold | composer
Superfuzz Bigmuff Plus Early Singles | Every Good Boy Deserves Fudge | followed_by
Bad Taste | Peter Jackson | director_of_photography
The Brass Bottle (1964 film) | Clifford Stine | director_of_photography
Nikolai Lemtyugov | HC Neftekhimik Nizhnekamsk | member_of_sports_team
The Possession of Joel Delaney | Shirley MacLaine | cast_member
Seven Days to Noon | United Kingdom | country_of_origin
Beside Still Waters (film) | Chris Lowell | director
Murray MacLaren | Conservative Party of Canada (1867–1942) | member_of_political_party
Our Man in Havana (film) | Oswald Morris | director_of_photography
Resisting Enemy Interrogation | Ronald Reagan | producer
Blonde Ambition | Film | instance_of
Genius 2000 | Avex Trax | record_label
Helpmates | Art Lloyd | director_of_photography
The Adventures of Marco Polo | Binnie Barnes | cast_member
Igor Radulov | Russia | country_of_citizenship
Idhaya Thirudan | Prakash Raj | cast_member
Adhyayam Onnu Muthal | Film | instance_of
Hamilton O. Smith | Nobel Prize in Physiology or Medicine | award_received
Underground (1995 film) | Emir Kusturica | director
The Scarlet Claw | Paul Sawtell | composer
Monte Carlo (2011 film) | Andie MacDowell | cast_member
Drive (2011 film) | Hossein Amini | screenwriter
The Predator (Animorphs) | Animorphs | part_of_the_series
Dude (Looks Like a Lady) | Geffen Records | record_label
Houseboat (film) | Murray Hamilton | cast_member
I'm Goin' In | Lil Wayne | performer
The Criminal Hypnotist | Jeanie MacPherson | cast_member
Michael Dowse | Film director | occupation
The Greatest Man That Ever Lived (Variations on a Shaker Hymn) | Geffen Records | record_label
High School High | Louise Fletcher | cast_member
Pink Flamingos | John Waters | film_editor
Aleksander Suglobov | Russia | country_of_citizenship
Dead Man | Alfred Molina | cast_member
Main Hoon Na | Gauri Khan | producer
SM UB-24 | AG Weser | manufacturer
Right in the Wrong Direction | That Just About Does It | follows
Prison Break: The Conspiracy | Deep Silver | publisher
Pina (film) | Wim Wenders | director
Galați | Mumbai | twinned_administrative_body
Becky Sharp | Kenneth Macgowan | producer
The Brothers Schellenberg | Curt Courant | director_of_photography
Igor Radulov | HC Sochi | member_of_sports_team
Netrakona Stadium | National Sports Council | owned_by
Mikhail Anisin | HC Vityaz | member_of_sports_team
Taste of Cherry | France | country_of_origin
Vittorio Gassman | Italian language | languages_spoken,_written_or_signed
Andy Colby's Incredible Adventure | Roger Corman | producer
Airport (1970 film) | Aviation accidents and incidents | main_subject
Detective Conan: Strategy Above the Depths | Chafurin | cast_member
Going Bye-Bye! | Stan Laurel | screenwriter
Mel (film) | Brian Cox (actor) | director_of_photography
Tuomas Tarkki | Rauma, Finland | place_of_birth
Shakira | The Rolling Stones | influenced_by
Billion Dollar Brain | Ken Russell | director
Holler If Ya Hear Me | Tupac Shakur | performer
Round & Round (New Order song) | Factory Records | record_label
Featherstone Rovers | United Kingdom | country
Sinuhe Wallinheimo | Färjestad BK | member_of_sports_team
Night on Earth | Japan | country_of_origin
Thru My Eyes | Michel Camilo | performer
Like Father, Like Son (Birdman and Lil Wayne album) | Cash Money Records | record_label
Rhineland-Palatinate | Bonn | work_location
Confessions of a Dangerous Mind | Maggie Gyllenhaal | cast_member
Walter L. Buenger | Historian | occupation
We Had It All | Stretch (album) | follows
American Pie (album) | United Artists Records | record_label
Flubber (film) | Film | instance_of
Sunshine Cleaning | Eric Christian Olsen | cast_member
Mysterious Ways (TV series) | CTV Television Network | original_broadcaster
My Heart Will Never Know | Clay Walker | performer
Renzo Marignano | Film director | occupation
Dedicated (ATB album) | ATB | performer
John (Lil Wayne song) | Universal Motown Records | record_label
Cold Souls | Russian language | original_language_of_film_or_TV_show
The Great Dictator | Charlie Chaplin | cast_member
Carriers of Dust | Gangrene (album) | followed_by
Jennifer Melfi | The Sopranos | present_in_work
Pops, We Love You (A Tribute to Father) | A Funky Space Reincarnation | followed_by
Bologna | Valencia | twinned_administrative_body
Sgt. Pepper's Lonely Hearts Club Band (film) | Film | instance_of
Philippe Dupuis | Toronto Maple Leafs | member_of_sports_team
Darzikola-ye Akhund-e Baba | Iran | country
Barack Obama | Politician | occupation
Wyatt Smith | Centre (ice hockey) | position_played_on_team_/_speciality
The Lion and the Lamb | Film | instance_of
Grounds for Marriage | John Alton | director_of_photography
Woman in Chains | Advice for the Young at Heart | followed_by
Dmitri Nabokov (ice hockey) | Krylya Sovetov Moscow | member_of_sports_team
Fort Algiers | Film | instance_of
The Barkleys of Broadway | Ginger Rogers | cast_member
Linh Dan Pham | South Vietnam | country_of_citizenship
Bill Cosby Talks to Kids About Drugs | Bill Cosby | performer
The Trouble with Tribbles | The Gamesters of Triskelion | followed_by
The Neptune Factor | Lalo Schifrin | composer
Still Warm | Rykodisc | record_label
Autobus Number Two | Fritz Kampers | cast_member
Inu to Tsuki | Pony Canyon | record_label
The Brady Bunch Movie | Gary Cole | cast_member
Celluloide | Italian language | original_language_of_film_or_TV_show
Trampled Under Foot | Led Zeppelin | performer
The Crusades (film) | Film | instance_of
Randhir Kapoor | Karisma Kapoor | child
The Real Macaw (film) | Paramount Pictures | distributed_by
Ho Mei-yueh | National Taiwan University | educated_at
Esha Deol | Mumbai | place_of_birth
The Bodyguard (2016 film) | Sammo Hung | cast_member
Sure Feels Good | All Around the World Productions | record_label
The Champion (1915 film) | Comedy | genre
Kenneth More | United Kingdom | country_of_citizenship
The Strange Door | Irving Glassberg | director_of_photography
Duces 'n Trayz: The Old Fashioned Way | Snoop Dogg | producer
Abdolhossein Sepanta | Iran | country_of_citizenship
Eisaku Satō | Japan | country_of_citizenship
Imperivm: Great Battles of Rome | Real-time tactics | genre
Noëlle Lenoir | Sciences Po | educated_at
A Prayer for the Dying | The Samuel Goldwyn Company | distributed_by
The Last Outlaw (1919 film) | John Ford | director
Be Cool | Danny DeVito | producer
Hollywood Canteen (film) | Paul Henreid | cast_member
Haters (Tony Yayo song) | EMI | record_label
Where the Truth Lies | Paul Sarossy | director_of_photography
Scarface (1932 film) | Howard Hawks | screenwriter
Forever and a Day (2011 film) | Philippines | country_of_origin
Ziguinchor | Senegal | country
Sarhad Paar | Mahima Chaudhry | cast_member
Certainty (film) | Mike O'Malley | producer
Dead Man | Jim Jarmusch | director
Joy.Discovery.Invention | Biffy Clyro | performer
Fahad Khalfan | Qatar | country_of_citizenship
Nathoon | Film | instance_of
E. H. Calvert | Film director | occupation
The Lash (1930 film) | Ernest Haller | director_of_photography
The Folk Years 2003–2003 | Underdog Victorious | followed_by
Murder on the Dancefloor | Sophie Ellis-Bextor | performer
Ardakan County | Iran | country
Shout at the Devil (film) | Maurice Jarre | composer
Damascus | Athens | twinned_administrative_body
Alfonso Bedoya | Spanish language | languages_spoken,_written_or_signed
Old Wives for New | Jeanie MacPherson | screenwriter
Xevious | Namco | developer
Loyalty and Betrayal (E-40 album) | Battlecat (record producer) | producer
Behind the Headlines (1956 film) | London | narrative_location
Sabrina: The Animated Series | Melissa Joan Hart | cast_member
Payanam (film) | Prakash Raj | producer
The Walking Dead (1936 film) | Hal Mohr | director_of_photography
Hawks & Doves | Neil Young | performer
My Darling Clementine | Cyril J. Mockridge | composer
Super Capers | Clint Howard | cast_member
Brewster's Millions (1945 film) | Hugo Friedhofer | composer
Soul Men | Samuel L. Jackson | cast_member
Yodha (1992 film) | A. R. Rahman | composer
The Murder Clinic | Italian language | original_language_of_film_or_TV_show
The Extreme (Animorphs) | Scholastic Corporation | publisher
Twentieth Century (film) | Columbia Pictures | production_company
The Other Side of the Bed | Madrid | filming_location
Konstantin Shayne | Kharkiv | place_of_birth
The Promotion | Lili Taylor | cast_member
The Silence (The Twilight Zone) | Rod Serling | screenwriter
Incomplete (Sisqó song) | Sisqó | performer
Randy Andreachuk | Centre (ice hockey) | position_played_on_team_/_speciality
Maxim Gorky | Russian language | native_language
Robert E. Huyser | Legion of Merit | award_received
The Land Before Time (TV series) | Jeff Bennett | cast_member
Huckleberry Finn (1974 film) | Paul Winfield | cast_member
Ralph Winter (producer) | University of California, Berkeley | educated_at
Henry Grover | Politician | occupation
The People Against O'Hara | Pat O'Brien (actor) | cast_member
Underneath the Arches (film) | H. Fowler Mear | screenwriter
Franz Josef Strauss | Politician | occupation
Frankfurt | Chennai | twinned_administrative_body
Bogach | Outer Hebrides | located_in_the_administrative_territorial_entity
The Saint in Miami | Simon Templar | part_of_the_series
The Last Outpost (1951 film) | Bruce Bennett | cast_member
Dražen Petrović | Portland Trail Blazers | drafted_by
The Junkman | H. B. Halicki | producer
Chris Bigras | Colorado Avalanche | member_of_sports_team
David Crombie | Politician | occupation
Resurrecting the Champ | Peter Coyote | cast_member
Denis Abdullin | HC Neftekhimik Nizhnekamsk | member_of_sports_team
Starry Night Over the Rhone | Vincent van Gogh | creator
Tom Lawson (ice hockey) | HC Sibir Novosibirsk | member_of_sports_team
Sonic Underground | Frank Welker | cast_member
Francis Peyton Rous | Nobel Prize in Physiology or Medicine | award_received
Akira Kurosawa | Order of Culture | award_received
The Blue Dahlia | Film | instance_of
Michael Sheen | United Kingdom | country_of_citizenship
Eric Blore | London | place_of_birth
Kirill Moskalenko | Novodevichy Cemetery | place_of_burial
Merry Christmas from BoA | BoA | performer
Sangraam | Film | instance_of
Boom Boom Pow | The Black Eyed Peas | performer
Commando (1985 film) | Bill Paxton | cast_member
Anton Chekhov | Literary realism | movement
Lawrence W. Steinkraus | Air Force Distinguished Service Medal | award_received
Tulsa (film) | Robert Preston (actor) | cast_member
Kranti | Hema Malini | cast_member
Traffic (2000 film) | Focus Features | distributed_by
Hanover Street (film) | London | narrative_location
Ramones | Radioactive Records | record_label
For Colored Girls | Film | instance_of
Yuri Butsayev | Russia | country_of_citizenship
Saint Petersburg | Hamburg | twinned_administrative_body
Donatella (film) | Tonino Delli Colli | director_of_photography
Jekyll and Hyde... Together Again | Billy Weber | film_editor
All I Need to Know about Filmmaking I Learned from the Toxic Avenger | Lloyd Kaufman | author
The Howards of Virginia | Sidney Buchman | screenwriter
La fuga (1964 film) | Film | instance_of
Hilmar Reksten | Bergen | place_of_death
The Wife of the Centaur | King Vidor | director
Devil Inside (Utada Hikaru song) | Utada Hikaru | performer
Katherine Jenkins | United Kingdom | country_of_citizenship
