21274
Gilles Mbang Ondo | Libreville | wasBornIn
Armands Zeiberliņš | Hapoel Beit She'an F.C. | playsFor
Valdís Óskarsdóttir | Eternal Sunshine of the Spotless Mind | edited
David Gorcey | Clipped Wings (1953 film) | actedIn
Courteney Cox | Wales | isCitizenOf
Dayot Upamecano | France national under-18 football team | isAffiliatedTo
George Stevens | Vivacious Lady | directed
Jeff Danna | Tyrant (TV series) | created
Om Prakash | Nartaki (film) | actedIn
Gavin Johnson (footballer) | Walsham-le-Willows F.C. | playsFor
Gordon Chan | Armageddon (1997 film) | directed
John Barry (composer) | The Quiller Memorandum | created
Robert Rodriguez | Once Upon a Time in Mexico | edited
Kwame Quansah | Heracles Almelo | isAffiliatedTo
Roman Yevmenyev | FC Zorya Luhansk | playsFor
Kevin Brock (footballer) | Oxford City F.C. | playsFor
André Oostrom | Edmonton Drillers (1979–82) | playsFor
George Nicholls, Jr. | The Return of Peter Grimm | directed
Alfred Newman (composer) | People Will Talk | wroteMusicFor
James Gandolfini | Crimson Tide (film) | actedIn
Casey Affleck | ParaNorman | actedIn
Dominik Nagy | Kozármisleny SE | playsFor
Molly Lamont | Brother Alfred | actedIn
Gianluca Vivan | A.S.D. Castel di Sangro Calcio | playsFor
ZaSu Pitts | Wife Savers | actedIn
Anandaraj | Pondicherry | wasBornIn
Edorisi Master Ekhosuehi | CS Hammam-Lif | isAffiliatedTo
Baye Djiby Fall | SpVgg Greuther Fürth | isAffiliatedTo
Billy Gilbert | Towed in a Hole | actedIn
Eve Gray | Department Store (film) | actedIn
Edmund Gwenn | The Student Prince (film) | actedIn
System of a Down | Lonely Day | created
Lew Landers | The Singing Hill | directed
Chris Rock | The Longest Yard (2005 film) | actedIn
Anthony Asquith | Unfinished Symphony (film) | directed
Steely Dan | Dallas (Steely Dan song) | created
Dave Grohl | Monkey Wrench (song) | created
Kirk Douglas | The Devil's Disciple (1959 film) | actedIn
Indo-Pakistani War of 1971 | Bay of Bengal | happenedIn
Daniel Vădrariu | CSM Şcolar Reşiţa | isAffiliatedTo
Carrie Underwood | Before He Cheats | created
Victor Saville | Dark Journey (film) | directed
Lucas Pantelis | FFSA NTC | playsFor
Tony Gatlif | Vengo (film) | created
George Dolenz | The Royal Mounted Rides Again | actedIn
Brandy Clark | Mama's Broken Heart | created
Uzan, Iran | Minjavan-e Gharbi Rural District | isLocatedIn
Sabir Khamzin | FC Sportakademklub Moscow | isAffiliatedTo
Phil Boutelje | Babe London | isMarriedTo
P. G. Wodehouse | Uneasy Money | created
Andi Xhixha | KF Adriatiku Mamurras | isAffiliatedTo
Rebecca De Mornay | Identity (film) | actedIn
Ricardo Da Silva | Adelaide Blue Eagles | isAffiliatedTo
Common (rapper) | Terminator Salvation | actedIn
World War II | Cambodia | happenedIn
Michel Doesburg | HFC Haarlem | isAffiliatedTo
Jani Sarajärvi | IFK Norrköping | playsFor
Gerhard Lamprecht | Diesel (film) | directed
Steven Spielberg | Schindler's List | actedIn
Dave Waller | Glapwell F.C. | isAffiliatedTo
Angelo Vier | Rot-Weiß Oberhausen | playsFor
Sophie Tucker | Gay Love | actedIn
Dej Loaf | Detroit vs. Everybody | created
Hal David | I'll Never Fall in Love Again | created
Hans May | The Great Unknown (1927 film) | wroteMusicFor
Malcolm Young | Satellite Blues | created
Iftekhar | Zindagani | actedIn
Dejan Milić | NK Svoboda | playsFor
Dimitri Foulquier | France national under-18 football team | playsFor
Andy Devine | Stagecoach (1939 film) | actedIn
Thomas Mitchell (actor) | Dark Waters (1944 film) | actedIn
Jordan Rose | Alfreton Town F.C. | isAffiliatedTo
Tolombeh-ye Kheyri | Shibkaveh District (Fars Province) | isLocatedIn
Vardeh Sara | Asalem Rural District | isLocatedIn
Gary Sweet | Fatal Honeymoon | actedIn
Gene Hackman | Extreme Measures | actedIn
Lois Wilson (actress) | Pittsburgh | wasBornIn
Sarah Jessica Parker | Honeymoon in Vegas | actedIn
Ruud Boymans | VVV-Venlo | isAffiliatedTo
Jorge Luis dos Santos | Central Sport Club | playsFor
Bobby Moynihan | The Secret Life of Pets | actedIn
Jacky Cheung | The Eighth Happiness | actedIn
John Denver | Oh, God! | actedIn
Rajinikanth | Chilakamma Cheppindi | actedIn
Felipe Ribeiro | BM Aragón | isAffiliatedTo
Pierre Étaix | Heureux Anniversaire | created
Neil Jones (footballer) | Cape Cod Crusaders | playsFor
Sivaji (Telugu actor) | Priyamaina Neeku | actedIn
Dimitri Tiomkin | The Sundowners | wroteMusicFor
Ben Mboi | Nafsiah Mboi | isMarriedTo
Phyllis Diller | The Adding Machine (film) | actedIn
Totò | The Gold of Naples | actedIn
Grover Jones | Limehouse Blues (film) | created
Shemp Howard | I'm a Monkey's Uncle | actedIn
Anne Bauchens | Television Spy | edited
Slade | Far Far Away (song) | created
Vedran Gerc | KF Tirana | playsFor
John Huston | The Man Who Would Be King (film) | directed
William Gargan | Follow That Woman | actedIn
Steno (director) | Caprice Italian Style | directed
Ladislas Fodor | The Night Before the Divorce | created
Bud Abbott | The Wistful Widow of Wagon Gap | actedIn
Aasia | Sharif Badmash (1975 film) | actedIn
Val Kilmer | Planes (film) | actedIn
A. Bhimsingh | Pazhani (1965 film) | directed
Bizzy Bone | 1st of tha Month | created
Aruna Irani | Fakira (film) | actedIn
David Gascón | Madrid | wasBornIn
Roberto Floris | Barracas Central | playsFor
Luigi Zampa | Shivers in Summer | directed
Johnnier Montaño | Cali | wasBornIn
Draco Rosa | The Cup of Life | created
Dries Boussatta | HFC Haarlem | isAffiliatedTo
Rafael Tobar | Once Lobos | playsFor
Tinie Tempah | Plumstead | wasBornIn
Yıldıray Baştürk | Turkey national football team | isAffiliatedTo
Kay Walsh | Cast a Dark Shadow | actedIn
Robert Florey | The Magnificent Fraud | directed
Claudiu Dumitrescu | FCM Câmpina | isAffiliatedTo
Judy Geeson | Inseminoid | actedIn
Gustaf Gründgens | The False Step | directed
The Black Keys | Bullet in the Brain | created
Claudio Lombardo | Derthona F.B.C. 1908 | isAffiliatedTo
Wigor Gomes | SC Mirandela | playsFor
Ralph Burns | Tony Award | hasWonPrize
Aldo Fabrizi | The Angel Wore Red | actedIn
Raveena Tandon | Jung (2000 film) | actedIn
Josh Homme | Go with the Flow | created
Franz Grothe | Old Heidelberg (1959 film) | wroteMusicFor
Jonathan Pérez Olivero | UD Las Palmas | isAffiliatedTo
Susan Sarandon | Bull Durham | actedIn
Alexander Korda | Yellow Lily | directed
Roman Kukleta | Czechoslovakia national under-21 football team | isAffiliatedTo
Kevin Costner | Wales | isCitizenOf
Square Enix | Densha de Go! | created
Ahmed Deen | Peterborough United F.C. | playsFor
Ville Lehtinen | AC Allianssi | isAffiliatedTo
Chisamba Lungu | FC Zugdidi | isAffiliatedTo
Worm Miller | Hey, Stop Stabbing Me! | actedIn
Holly Hunter | A Life Less Ordinary | actedIn
Sergio Osmeña | Nacionalista Party | isAffiliatedTo
Nina Larsson | Liberals (Sweden) | isAffiliatedTo
Edward L. Cahn | You Have to Run Fast | directed
Poonam Dhillon | Saaya (1989 film) | actedIn
Senta Berger | De Sade (film) | actedIn
Lise Klaveness | Umeå IK | playsFor
Roy Del Ruth | The Second Floor Mystery | directed
Sheryl Crow | Orthophonic Joy | created
Noumousso | Comoé Province | isLocatedIn
Rex Taylor | Sitting on the Moon | created
Elwood Ullman | The Ghost in the Invisible Bikini | created
Johnny Knoxville | Skiptrace (film) | actedIn
Michael Fisher | Lars Onsager Prize | hasWonPrize
C. R. Vijayakumari | Kaanchi Thalaivan | actedIn
Fredric March | A Star Is Born (1937 film) | actedIn
David Witteveen | Dundee F.C. | playsFor
Desmond Child | The Cup of Life | created
Ranjit Mallick | Sundar Bou | actedIn
Namatanai District | Papua New Guinea | isLocatedIn
Yohei Iwasaki | Atlético Clube Paranavaí | isAffiliatedTo
Stephen Fry | Bright Young Things (film) | directed
Alice Faye | George White's Scandals (1934 film) | actedIn
Michael Stich | Elmshorn | livesIn
Ioan Gruffudd | Wales | isCitizenOf
Rudolph Valentino | Beyond the Rocks (film) | actedIn
Oumarou Nébié | RC Bobo Dioulasso | playsFor
Jonathan Bottinelli | Adana Demirspor | playsFor
Age & Scarpelli | Don Camillo's Last Round | created
Tapas Paul | Kartavya (2003 film) | actedIn
Robert Rodriguez | Bedhead (film) | wroteMusicFor
Heinz Barmettler | Cibao FC | playsFor
Fred Ward | Corky Romano | actedIn
Arlene Dahl | Caribbean Gold | actedIn
Hall & Oates | Do It for Love (song) | created
Andrew Mondshein | The Hoax | edited
Salil Chowdhury | Swarna Trishna | wroteMusicFor
Mickey Daniels | Back Stage (1923 film) | actedIn
Juliette Compton | Rich Man's Folly | actedIn
Qaleh-ye Akhund | Bastam District | isLocatedIn
Dick Maas | Amsterdamned | directed
Gerardo Carrera Piñera | UD Las Palmas | playsFor
Ann Miller | Radio City Revels | actedIn
Russell Brand | Katy Perry | isMarriedTo
Joseph Pevney | Portrait of a Mobster | directed
Ciara McCormack | Ottawa Fury Women | playsFor
Malin Åkerman | Cottage Country (film) | actedIn
Alexandru Iacob | FC Gloria Buzău | playsFor
Ed Harris | Buffalo Soldiers (2001 film) | actedIn
Godsmack | Love-Hate-Sex-Pain | created
Mario Méndez (Panamanian footballer) | Chorrillo F.C. | playsFor
Trevor Howard | The Long Duel | actedIn
George McFarland | O'Shaughnessy's Boy | actedIn
Lily Allen | As Long as I Got You (Lily Allen song) | created
Piyachart Tamaphan | Muangthong United F.C. | playsFor
Rama Prabha | Badi Panthulu | actedIn
Alvin Sargent | The Stalking Moon | created
Rosamund Kwan | Once Upon a Time in China III | actedIn
Christophe Coue | Vannes OC | playsFor
Mike Lindup | Guaranteed (Level 42 song) | created
David Sánchez Parrilla | CD Aurrerá de Vitoria | playsFor
Burt Bacharach | Love Hurts (1991 film) | wroteMusicFor
Tom Forman (actor) | The Thousand-Dollar Husband | actedIn
Norman Whitfield | Car Wash (film) | wroteMusicFor
Fyodor Milovanov | FC FSA Voronezh | playsFor
Lee Kendall | Haverfordwest County A.F.C. | isAffiliatedTo
Lou Costello | In Society | actedIn
Rodolfo Córdoba | Cali | wasBornIn
Viola Davis | Suicide Squad (film) | actedIn
Jeff Bridges | The Last Unicorn (film) | actedIn
Paul Robinson (footballer, born 1984) | Whitley Bay F.C. | isAffiliatedTo
Henrique Dinis | A.D. Lousada | isAffiliatedTo
Bokeem Woodbine | The Big Hit | actedIn
John Sayles | Men of War (film) | created
Ángel Trujillo | UD Almería B | playsFor
Adelino Batista da Silva Neto | Associação Desportiva Confiança | isAffiliatedTo
Harry Keller | Code of the Prairie | edited
Francisco Javier Amado Gutiérrez | Algeciras | wasBornIn
Ivaylo Rusev | POFC Botev Vratsa | playsFor
Adolfo Lima | Al-Wehda Club (Mecca) | isAffiliatedTo
Gaël Morel | Notre Paradis | created
Cesare Zavattini | Caprice Italian Style | created
Stewart Copeland | Airborne (1993 film) | wroteMusicFor
Pablo de Muner | Deportivo Merlo | playsFor
Olivia Thirlby | Just Before I Go | actedIn
Sidney Gilliat | The Man Who Changed His Mind | created
Slade | Rock 'n' Roll Bolero | created
Andrew Marth | Sunshine George Cross FC | playsFor
Alisher Tuychiev | FK Mash'al Mubarek | isAffiliatedTo
Jason Schwartzman | Bewitched (2005 film) | actedIn
Tom Thomas | Shawnee, Perry County, Ohio | wasBornIn
Kevin East | North Jersey Imperials | isAffiliatedTo
Bernhard Eichhorn | In Those Days | wroteMusicFor
Juan Carlos Caballero | CD Teruel | isAffiliatedTo
Busby Berkeley | Stage Struck (1936 film) | directed
Rafael Ramazotti de Quadros | Brunei DPMM FC | playsFor
Jia Zhangke | 24 City | directed
Busta Rhymes | New York Shit | created
Tobias Willers | Rot-Weiß Oberhausen | isAffiliatedTo
Stanislav Zhekov | PFC Neftochimic Burgas (2009–14) | playsFor
Nuno Mendes (footballer) | FC Felgueiras | isAffiliatedTo
Charalambos Moisiadis | FC Gloria Buzău | playsFor
Jerren Nixon | North East Stars F.C. | isAffiliatedTo
Derek Twist | Chu Chin Chow (1934 film) | edited
John C. Higgins | Kid Glove Killer | created
Julianne Moore | Don Jon | actedIn
Nestor Paiva | Comanche (1956 film) | actedIn
Robert McKim (actor) | The Edge of the Abyss | actedIn
Leslie Arliss | Rhodes of Africa | created
Ricky Gervais | The Little Prince (2015 film) | actedIn
V. K. Prakash | Mullavalliyum Thenmavum | directed
Matthew Macfadyen | Wales | isCitizenOf
Heart Evangelista | Trophy Wife (film) | actedIn
Pierre Richard | The Very Merry Widows | actedIn
Werner Hinz | Melody of a Great City | actedIn
Christine Elliott | Jim Flaherty | isMarriedTo
Spencer Gordon Bennet | The Bounty Killer (film) | directed
Mario Martos | UD Almería B | playsFor
Borja del Rosario | UD Villa de Santa Brígida | isAffiliatedTo
Deniss Romanovs | Khazar Lankaran FK | playsFor
Yevhen Kucherevskyi | FC Elektrometalurh-NZF Nikopol | isAffiliatedTo
Bud Abbott | Keep 'Em Flying | actedIn
Philip Baker Hall | Cradle Will Rock | actedIn
Brian Donlevy | Command Decision (film) | actedIn
Metallica | Nothing Else Matters | created
Roy Del Ruth | Maisie Gets Her Man | directed
Juan Manuel Ortiz Jiménez | CP Villarrobledo | isAffiliatedTo
Dragan Stojkić | NK Marsonia | isAffiliatedTo
Yuri Kovtun | FC MVD Rossii Moscow | isAffiliatedTo
Catherine O'Hara | Temple Grandin (film) | actedIn
Michael Barringer | Full Circle (1935 film) | created
Vadim Glovatsky | Traktor Chelyabinsk | isAffiliatedTo
Peter Svensson | Glassheart (song) | created
Jamuk | Holunchekan Rural District | isLocatedIn
Jeff Lynne | California Blue | created
Nunnally Johnson | Thanks a Million | created
Bon Jovi | Lay Your Hands on Me | created
Peter van Eyck | Sweetheart of the Gods | actedIn
Sunil Chhetri | Sporting Kansas City | isAffiliatedTo
David Zucker (filmmaker) | An American Carol | directed
Javier Herreros | CD Izarra | playsFor
Liu Ye (actor) | Police Story (film series) | actedIn
Paulo Roberto Junges | Sinop Futebol Clube | playsFor
Deanna Durbin | Three Smart Girls Grow Up | actedIn
Dennis Quaid | Switchback (film) | actedIn
Wayne Wahrman | Charlie's Angels (film) | edited
Lily Allen | Somewhere Only We Know | created
Ghantasala (singer) | Mana Desam | wroteMusicFor
Russell Latapy | United Petrotrin F.C. | isAffiliatedTo
Eugenio Bustingorri | CD Izarra | playsFor
Djair Baptista Machado | Nacional Futebol Clube | playsFor
Shlomi Dahan | Hapoel Afula F.C. | isAffiliatedTo
Linda Ronstadt | Ooo Baby Baby | created
Armando Polo | Río Abajo F.C. | playsFor
2 Chainz | Do My Dance | created
Twista | 5000 Ones | created
Alan Mowbray | The Pilgrim Lady | actedIn
Ginuwine | I Need a Girl (Part Two) | created
Richard Roundtree | Steel (1997 film) | actedIn
Robert Donat | The Inn of the Sixth Happiness | actedIn
Ronny van Es | HFC Haarlem | isAffiliatedTo
Jerry Duplessis | 911 (Wyclef Jean song) | created
Valdeir da Silva Santos | Associação Desportiva Confiança | isAffiliatedTo
The Game (rapper) | Touchdown (Game song) | created
Marianne Hoppe | The Wrong Move | actedIn
Miguel Contreras Torres | Pancho Villa Returns | created
Gary Scott Thompson | Ukiah, California | wasBornIn
Kobi Hassan | Maccabi Ironi Kiryat Ata F.C. | playsFor
Balu Mahendra | Adhu Oru Kana Kaalam | directed
Lajos Bíró | The Private Life of Henry VIII | created
Joseph Henabery | While Satan Sleeps | directed
Marc Eberle | K. Patro Eisden Maasmechelen | isAffiliatedTo
Robin Wright | White Oleander (film) | actedIn
Daisuke Tada | Sriracha F.C. | playsFor
Hanoi Rocks | Million Miles Away (Hanoi Rocks song) | created
Ernst Reijseger | Bussum | wasBornIn
Ettore Scola | I mostri | created
Dragan Đukić | FC Thun | playsFor
Maniyanpilla Raju | Akkare Akkare Akkare | actedIn
Herbert Lom | The Pope Must Die | actedIn
Gerald Mohr | The Lone Wolf in London | actedIn
William Morgan (director) | Dark Command | edited
Rowen Fernández | SuperSport United F.C. | isAffiliatedTo
Tracy Morgan | The Longest Yard (2005 film) | actedIn
John Paddy Carstairs | And the Same to You | created
Leon de Kogel | VVV-Venlo | isAffiliatedTo
Kenneth Williams | Follow That Camel | actedIn
David Arnold | Made in Dagenham | wroteMusicFor
Darko Karapetrović | SC Schwanenstadt | isAffiliatedTo
Christopher Young | Murder at 1600 | wroteMusicFor
Randolph Scott | Coroner Creek | actedIn
Thin Lizzy | Renegade (Thin Lizzy album) | created
Laura La Plante | The Old Swimmin' Hole (1921 film) | actedIn
Michael Chapman (cinematographer) | All the Right Moves (film) | directed
Masaki Hemmi | Sevilla FC Puerto Rico | isAffiliatedTo
Ben Mendelsohn | Idiot Box (film) | actedIn
Bálint Bajner | Borussia Dortmund | isAffiliatedTo
Nancy Carroll | I Love That Man | actedIn
Marcelo Luis de Almeida Carmo | Nova Iguaçu Futebol Clube | playsFor
Ben Mendelsohn | Mississippi Grind | actedIn
Ciara | High Price | created
Spike Lee | Crooklyn | directed
Björn Ulvaeus | Agnetha Fältskog | isMarriedTo
Charles Bennett (screenwriter) | Gay Love | created
Bruno Ganz | Especially on Sunday | actedIn
Riad Benchadi | CA Bordj Bou Arréridj | isAffiliatedTo
Myrna Loy | Manhattan Melodrama | actedIn
Ibrahim Abboud | Sudan | isPoliticianOf
Sony Music Latin | Florida | isLocatedIn
Preston Foster | Submarine Patrol | actedIn
Sophia Loren | The Cassandra Crossing | actedIn
Juliet Mills | Jonathan Livingston Seagull (film) | actedIn
Cliff Martinez | Spore (2008 video game) | created
Sachin Khedekar | Tere Naam | actedIn
Jean McLean | SUNTRACS F.C. | isAffiliatedTo
John Goodman | Dirty Deeds (2002 film) | actedIn
Jean Aurenche | Daughters of Destiny | created
South Deerfield, Massachusetts | Franklin County, Massachusetts | isLocatedIn
Sophia Loren | Verdict (film) | actedIn
James Bobin | The Third Conchord | created
Jure Travner | Slovenia national under-21 football team | isAffiliatedTo
Rostam Batmanglij | Diane Young | created
Jan Simulambo | Green Buffaloes F.C. | playsFor
Leonard Spigelgass | Hello, Sister! | created
Senta Berger | The Quiller Memorandum | actedIn
Giorgos Matzourakis | Haidari F.C. | playsFor
Barbara Windsor | Shoreditch | wasBornIn
Michał Sławuta | Porin Palloilijat | isAffiliatedTo
Jonathan Béhé | SO Cassis Carnoux | playsFor
Silambarasan | Vaalu | actedIn
Sharifabad, Hamadan | Khezel District | isLocatedIn
Ellen Barkin | The Fan (1996 film) | actedIn
Walter Janssen | The White Roses of Ravensberg (1929 film) | actedIn
Raymond J. Barry | The Chamber (film) | actedIn
Huntz Hall | Crime School | actedIn
